                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0115,                 1.1349,                 1.2674,                0.83669,                0.57143,                0.69744,                0.47216,                 1.0742,                 1.4202,                 1.2206,              0.0014555,              0.0014555,              0.0014555
                     35,                 1.1342,                 1.1279,                 1.2825,                0.82983,                0.52381,                0.69358,                0.49439,                 1.0403,                 1.3108,                 1.1872,               0.001439,               0.001439,               0.001439
                     36,                 1.0215,                  1.043,                 1.2274,                0.84328,                0.61905,                 0.7738,                0.53236,                0.96675,                  1.122,                 1.1159,              0.0014225,              0.0014225,              0.0014225
                     37,                 1.0229,                 1.1232,                 1.3043,                0.84328,                0.61905,                 0.7738,                0.53236,                0.96675,                  1.122,                 1.1159,               0.001406,               0.001406,               0.001406
                     38,                 1.0165,                 1.0347,                  1.273,                0.83528,                0.71429,                  0.797,                0.55331,                 0.9436,                0.95471,                 1.0976,              0.0013895,              0.0013895,              0.0013895
                     39,                 1.0801,                   1.14,                 1.2804,                      1,                0.66189,                0.78753,                0.54793,                0.98796,                0.91787,                 1.0917,               0.001373,               0.001373,               0.001373
                     40,                0.95912,                0.99588,                 1.2371,                      1,                0.66189,                0.78753,                0.54793,                0.98796,                0.91787,                 1.0917,              0.0013565,              0.0013565,              0.0013565
                     41,                 0.9702,                 0.9046,                 1.1566,                0.92767,                0.61126,                0.72521,                 0.5013,                 1.0733,                0.98147,                 1.1335,                0.00134,                0.00134,                0.00134
                     42,                 1.0793,                 1.1139,                  1.285,                0.90439,                0.57143,                0.69454,                0.48964,                 1.1187,                 1.1117,                 1.1565,              0.0013235,              0.0013235,              0.0013235
                     43,                 1.0647,                 1.0546,                 1.2885,                0.90439,                0.57143,                0.69454,                0.48964,                 1.1187,                 1.1117,                 1.1565,               0.001307,               0.001307,               0.001307
                     44,                0.90574,                0.92531,                 1.1755,                 0.7352,                0.66133,                0.75715,                0.48156,                 1.2269,                 1.1654,                 1.2195,              0.0012905,              0.0012905,              0.0012905
                     45,                 1.1023,                 1.0126,                 1.2778,                0.73555,                0.61905,                0.59877,                0.42047,                  1.255,                 1.2692,                 1.2788,               0.001274,               0.001274,               0.001274
                     46,                0.98614,                0.96106,                 1.1994,                0.73555,                0.61905,                0.59877,                0.42047,                  1.255,                 1.2692,                 1.2788,              0.0012575,              0.0012575,              0.0012575
                     47,                0.98507,                0.98255,                 1.1814,                      1,                0.42704,                0.55179,                0.39144,                 1.2715,                 1.4426,                 1.3301,               0.001241,               0.001241,               0.001241
                     48,                 1.0783,                 1.0664,                 1.2879,                0.98094,                0.42857,                 0.5651,                0.37885,                 1.2261,                  1.404,                 1.2725,              0.0012245,              0.0012245,              0.0012245
                     49,                0.94809,                0.92711,                 1.2375,                      1,                0.47307,                  0.616,                0.40462,                 1.0803,                 1.3527,                  1.151,               0.001208,               0.001208,               0.001208
                     50,                0.91168,                0.90026,                 1.1852,                      1,                0.47307,                  0.616,                0.40462,                 1.0803,                 1.3527,                  1.151,              0.0011915,              0.0011915,              0.0011915
                     51,                0.93445,                0.90484,                 1.2088,                0.66894,                0.67381,                0.69188,                0.45195,                0.98331,                 1.1449,                 1.0744,               0.001175,               0.001175,               0.001175
